group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
CSVD score 1,HTN,BA_diameter,1.08 [0.92–1.26],1.06 [0.94–1.18],63,23,Mann-Whitney U,805.0,0.4350819466998609
CSVD score 1,HTN,LICA_diameter,1.65 [1.47–1.98],1.82 [1.57–2.07],63,23,Mann-Whitney U,700.0,0.8148627192282647
CSVD score 1,HTN,RICA_diameter,1.73 [1.62–1.84],1.76 [1.52–2.00],63,23,Mann-Whitney U,726.0,0.9922155134001214
CSVD score 1,DM,BA_diameter,1.10 [1.03–1.17],1.20 [1.00–1.41],72,14,Mann-Whitney U,416.0,0.30604818262121547
CSVD score 1,DM,LICA_diameter,1.65 [1.42–1.97],1.96 [1.60–2.31],72,14,Mann-Whitney U,396.0,0.20857138040738932
CSVD score 1,DM,RICA_diameter,1.71 [1.60–1.81],1.90 [1.58–2.23],72,14,Mann-Whitney U,396.0,0.20857138040738932
CSVD score 1,Dyslipidemia,BA_diameter,1.16 [1.07–1.25],1.00 [0.89–1.21],54,32,Mann-Whitney U,1047.0,0.10299491911908427
CSVD score 1,Dyslipidemia,LICA_diameter,1.80 [1.67–1.94],1.63 [1.48–1.80],54,32,Mann-Whitney U,950.0,0.44493864904070934
CSVD score 1,Dyslipidemia,RICA_diameter,1.75 [1.62–1.88],1.72 [1.56–1.87],54,32,Mann-Whitney U,900.0,0.7511171730057531
CSVD score 2,ICASS,BA_diameter,1.07 [0.98–1.17],1.20 [0.98–1.43],44,12,Mann-Whitney U,202.0,0.21943318739268347
CSVD score 2,ICASS,LICA_diameter,1.70 [1.58–1.82],1.85 [1.61–2.08],45,12,Mann-Whitney U,215.0,0.2860696567812494
CSVD score 2,ICASS,RICA_diameter,1.70 [1.57–1.82],1.70 [1.52–1.88],45,12,Mann-Whitney U,259.0,0.8371603453645393
CSVD score 2,ICAS,BA_diameter,1.10 [1.01–1.19],1.13 [0.48–1.78],51,5,Mann-Whitney U,130.0,0.9555989084290972
CSVD score 2,ICAS,LICA_diameter,1.70 [1.59–1.81],1.99 [1.65–2.33],52,5,Mann-Whitney U,72.0,0.10635126027380247
CSVD score 2,ICAS,RICA_diameter,1.69 [1.58–1.80],1.83 [1.60–2.05],52,5,Mann-Whitney U,92.0,0.2999575363031172
CSVD score 2,sex,BA_diameter,1.25 [1.15–1.35],0.85 [0.77–0.94],35,21,t-test,5.426481468662494,1.390778982977933e-06
